,header.normalizedJobTitle,gaTrackerData.sector,map.employerName,new_location,reviews.val.reviewerDuration,reviews.val.reviewerInformation,overview.revenue,overview.size,salary.salaries,reviews.val.reviewRatings.careerOpportunities,reviews.val.reviewRatings.compBenefits,reviews.val.reviewRatings.cultureValues,reviews.val.reviewRatings.overall,reviews.val.reviewRatings.seniorManagement,reviews.val.reviewRatings.worklifeBalance,reviews.val.summaryPoints.ceoApproval,rating.starRating
0,Assistant data analyst,Manufacturing,Saint-Gobain,France,for more than a year,Current Employee,7500000000,10000,48816.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,3.7
1,Assistant data analyst,Telecommunications,Orange,France,for more than 3 years,Current Employee,7500000000,10000,97305.0,5.0,4.0,4.0,5.0,3.0,4.0,1.0,3.8
2,Assistant data analyst,Telecommunications,Orange,France,for less than a year,Current Employee,7500000000,10000,138911.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,3.8
3,Assistant data analyst,Retail,Showroomprive.com,France,for less than a year,Current Employee,1500000000,3001,38964.0,4.0,3.0,5.0,5.0,4.0,4.0,0.0,2.6
4,Assistant data analyst,Retail,Showroomprive.com,France,for more than a year,Current Employee,1500000000,3001,99299.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,2.6
5,Assistant data analyst,Telecommunications,Orange,France,for more than 5 years,Former Employee,7500000000,10000,30347.0,3.0,4.0,3.0,4.0,3.0,4.0,0.0,3.8
6,Assistant data analyst,Retail,Lapeyre,France,for less than a year,Current Employee,500000,26,71682.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.8
7,Assistant data analyst,Media,SeLoger,France,for more than a year,Former Employee,300000000,751,84188.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,4.3
8,Assistant data analyst,Retail,Lapeyre,France,for more than 5 years,Former Employee,500000,26,83110.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.8
9,Assistant data analyst,Aerospace & Defense,Airbus,France,for more than 3 years,Former Employee,7500000000,10000,54272.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.1
